NAME,GEOID,tract,total,pct_below_poverty,pct_below_poverty_moe
Census Tract 3340.06; Contra Costa County; California,06013334006,334006,805.0,0.13291925465838508,0.16522729979371592
Census Tract 3340.07; Contra Costa County; California,06013334007,334007,791.0,0.13527180783817952,0.09786076277772189
Census Tract 3340.08; Contra Costa County; California,06013334008,334008,749.0,0.009345794392523364,0.015686875991157256
Census Tract 3342; Contra Costa County; California,06013334200,334200,805.0,0.0,0.02360248447204969
Census Tract 3350; Contra Costa County; California,06013335000,335000,841.0,0.12247324613555291,0.18270571535505084
Census Tract 3361.01; Contra Costa County; California,06013336101,336101,2915.0,0.1855917667238422,0.1176069693910395
Census Tract 3361.03; Contra Costa County; California,06013336103,336103,3296.0,0.21814320388349515,0.13701978369562204
Census Tract 3361.04; Contra Costa County; California,06013336104,336104,1195.0,0.32301255230125525,0.2556395854103954
Census Tract 3362.01; Contra Costa County; California,06013336201,336201,1361.0,0.04996326230712711,0.046170346602058855
Census Tract 3362.02; Contra Costa County; California,06013336202,336202,3623.0,0.11426994203698593,0.0715721058706718
Census Tract 3371; Contra Costa County; California,06013337100,337100,1129.0,0.06554472984942426,0.0850511068700251
Census Tract 3372.01; Contra Costa County; California,06013337201,337201,857.0,0.11435239206534423,0.08730110684218631
Census Tract 3372.02; Contra Costa County; California,06013337202,337202,1565.0,0.12651757188498403,0.11331900048675256
Census Tract 3373; Contra Costa County; California,06013337300,337300,722.0,0.04847645429362881,0.07944543236984773
Census Tract 3381.01; Contra Costa County; California,06013338101,338101,2527.0,0.15037593984962405,0.10779156203484733
Census Tract 3381.02; Contra Costa County; California,06013338102,338102,624.0,0.003205128205128205,0.007879867820291419
Census Tract 3382.01; Contra Costa County; California,06013338201,338201,332.0,0.0,0.0391566265060241
Census Tract 3382.03; Contra Costa County; California,06013338203,338203,981.0,0.0010193679918450561,0.010180642123183502
Census Tract 3382.04; Contra Costa County; California,06013338204,338204,696.0,0.031609195402298854,0.052069247596516245
Census Tract 3383.01; Contra Costa County; California,06013338301,338301,210.0,0.1,0.1729666451008989
Census Tract 3383.02; Contra Costa County; California,06013338302,338302,788.0,0.0,0.024111675126903553
Census Tract 3390.01; Contra Costa County; California,06013339001,339001,697.0,0.13199426111908177,0.15879248091391202
Census Tract 3390.03; Contra Costa County; California,06013339003,339003,441.0,0.1383219954648526,0.114693053167548
Census Tract 3390.04; Contra Costa County; California,06013339004,339004,479.0,0.29227557411273486,0.33646471430691544
Census Tract 3400.01; Contra Costa County; California,06013340001,340001,1118.0,0.04382826475849732,0.04132072465248283
