NAME,GEOID,tract,pct_below_poverty,pct_below_poverty_moe
Census Tract 3451.01; Contra Costa County; California,06013345101,345101,,0.3064516129032258
Census Tract 3451.02; Contra Costa County; California,06013345102,345102,,0.08589676424135996
Census Tract 3451.03; Contra Costa County; California,06013345103,345103,,0.19387755102040816
Census Tract 3451.05; Contra Costa County; California,06013345105,345105,,0.4127847851363374
Census Tract 3451.11; Contra Costa County; California,06013345111,345111,,0.2714285714285714
Census Tract 3451.12; Contra Costa County; California,06013345112,345112,,0.10215053763440861
Census Tract 3451.13; Contra Costa County; California,06013345113,345113,,0.21311475409836064
Census Tract 3451.14; Contra Costa County; California,06013345114,345114,,
Census Tract 3451.15; Contra Costa County; California,06013345115,345115,,0.34545454545454546
Census Tract 3451.16; Contra Costa County; California,06013345116,345116,,0.06317797782267048
Census Tract 3451.17; Contra Costa County; California,06013345117,345117,,0.24074074074074073
Census Tract 3451.18; Contra Costa County; California,06013345118,345118,,0.26174606014226837
Census Tract 3452.03; Contra Costa County; California,06013345203,345203,,0.3016056826045875
Census Tract 3452.04; Contra Costa County; California,06013345204,345204,,
Census Tract 3452.05; Contra Costa County; California,06013345205,345205,,0.16101694915254236
Census Tract 3452.06; Contra Costa County; California,06013345206,345206,,0.24074074074074073
Census Tract 3461.01; Contra Costa County; California,06013346101,346101,,0.12264150943396226
Census Tract 3461.02; Contra Costa County; California,06013346102,346102,,
Census Tract 3462.03; Contra Costa County; California,06013346203,346203,,0.07854272722537714
Census Tract 3462.04; Contra Costa County; California,06013346204,346204,,0.09644670050761421
Census Tract 3462.05; Contra Costa County; California,06013346205,346205,,
Census Tract 3462.06; Contra Costa County; California,06013346206,346206,,0.13829787234042554
Census Tract 3470; Contra Costa County; California,06013347000,347000,,0.4318181818181818
Census Tract 3480; Contra Costa County; California,06013348000,348000,,
Census Tract 3490; Contra Costa County; California,06013349000,349000,,0.5428571428571428
Census Tract 3500; Contra Costa County; California,06013350000,350000,,0.41304347826086957
Census Tract 3511.01; Contra Costa County; California,06013351101,351101,,
Census Tract 3511.03; Contra Costa County; California,06013351103,351103,,
Census Tract 3511.04; Contra Costa County; California,06013351104,351104,,
Census Tract 3511.05; Contra Costa County; California,06013351105,351105,,
Census Tract 3512; Contra Costa County; California,06013351200,351200,,
Census Tract 3521.01; Contra Costa County; California,06013352101,352101,,0.30952380952380953
Census Tract 3521.02; Contra Costa County; California,06013352102,352102,,
Census Tract 3522.01; Contra Costa County; California,06013352201,352201,,
Census Tract 3522.02; Contra Costa County; California,06013352202,352202,,
Census Tract 3530.01; Contra Costa County; California,06013353001,353001,,
Census Tract 3530.02; Contra Costa County; California,06013353002,353002,,0.7506939391625871
Census Tract 3540.01; Contra Costa County; California,06013354001,354001,,
Census Tract 3540.02; Contra Costa County; California,06013354002,354002,,
Census Tract 3551.07; Contra Costa County; California,06013355107,355107,,0.32896160806184344
Census Tract 3551.09; Contra Costa County; California,06013355109,355109,,0.017322390047324072
Census Tract 3551.10; Contra Costa County; California,06013355110,355110,,0.1770048119316754
Census Tract 3551.11; Contra Costa County; California,06013355111,355111,,0.12052372141610358
Census Tract 3551.12; Contra Costa County; California,06013355112,355112,,0.514345167429196
Census Tract 3551.13; Contra Costa County; California,06013355113,355113,,0.5972977378065217
Census Tract 3551.15; Contra Costa County; California,06013355115,355115,,0.29788168050256736
Census Tract 3551.18; Contra Costa County; California,06013355118,355118,,0.19753908575877185
Census Tract 3551.19; Contra Costa County; California,06013355119,355119,,0.05859248123131561
Census Tract 3551.20; Contra Costa County; California,06013355120,355120,,0.3097307648080424
Census Tract 3551.21; Contra Costa County; California,06013355121,355121,,0.06129032258064516
Census Tract 3551.22; Contra Costa County; California,06013355122,355122,,0.6859426243867757
