NAME,GEOID,GEO_ID,tract,total,pct_nh_black,pct_nh_black_moe,pct_nh_black_moe_ratio
Census Tract 3180; Contra Costa County; California,06013318000,1400000US06013318000,318000,3512.0,,0.047925848056777146,0.945593136940457
Census Tract 3190.01; Contra Costa County; California,06013319001,1400000US06013319001,319001,4236.0,,0.031012432042896013,0.7139601202918886
Census Tract 3190.02; Contra Costa County; California,06013319002,1400000US06013319002,319002,3943.0,,0.03055066852011147,0.9411037966781214
Census Tract 3200.01; Contra Costa County; California,06013320001,1400000US06013320001,320001,3100.0,,0.005130153469488152,1.590347575541327
Census Tract 3200.03; Contra Costa County; California,06013320003,1400000US06013320003,320003,3068.0,,0.00455522228880059,1.7469277477550262
Census Tract 3200.04; Contra Costa County; California,06013320004,1400000US06013320004,320004,6599.0,,0.011588390523075394,0.8996681066091121
Census Tract 3211.01; Contra Costa County; California,06013321101,1400000US06013321101,321101,6866.0,,0.019177543603552723,0.5878259570624687
Census Tract 3211.02; Contra Costa County; California,06013321102,1400000US06013321102,321102,6133.0,,0.01666177029095039,0.7351556632690558
Census Tract 3211.03; Contra Costa County; California,06013321103,1400000US06013321103,321103,4546.0,,0.01558135912408837,1.3888795799628573
Census Tract 3212; Contra Costa County; California,06013321200,1400000US06013321200,321200,5616.0,,0.03644559933619133,0.9840311820771659
Census Tract 3220; Contra Costa County; California,06013322000,1400000US06013322000,322000,6755.0,,0.014525676722412503,0.8386405663239013
Census Tract 3230; Contra Costa County; California,06013323000,1400000US06013323000,323000,4669.0,,0.0053255229300863925,1.2432433280286683
Census Tract 3240.02; Contra Costa County; California,06013324002,1400000US06013324002,324002,4740.0,,0.06644697449081398,0.6349972965452788
Census Tract 3240.03; Contra Costa County; California,06013324003,1400000US06013324003,324003,3449.0,,0.06263912591142515,0.7373458882884142
Census Tract 3240.04; Contra Costa County; California,06013324004,1400000US06013324004,324004,2413.0,,0.029432793537989214,0.9105298821431792
Census Tract 3250; Contra Costa County; California,06013325000,1400000US06013325000,325000,6161.0,,0.05824392575196257,1.0223385372018274
Census Tract 3260; Contra Costa County; California,06013326000,1400000US06013326000,326000,3639.0,,0.03504061221737782,1.2625028500894842
Census Tract 3270.01; Contra Costa County; California,06013327001,1400000US06013327001,327001,3479.0,,0.11292593960371837,1.2277166996291755
Census Tract 3270.02; Contra Costa County; California,06013327002,1400000US06013327002,327002,3833.0,,0.01915062727630574,0.8951750530497548
Census Tract 3280; Contra Costa County; California,06013328000,1400000US06013328000,328000,2326.0,,0.04000650272045487,0.8696740684839068
Census Tract 3290; Contra Costa County; California,06013329000,1400000US06013329000,329000,6488.0,,0.04075195404627903,0.5485449747972165
Census Tract 3300; Contra Costa County; California,06013330000,1400000US06013330000,330000,5587.0,,0.00942237545507811,0.7976183585988091
