NAME,GEOID,GEO_ID,tract,total,pct_nh_white,pct_nh_white_moe,pct_nh_white_moe_ratio
Census Tract 3512; Contra Costa County; California,06013351200,1400000US06013351200,351200,5525.0,0.8083257918552036,0.06651950517779631,0.08229293911941886
Census Tract 3521.01; Contra Costa County; California,06013352101,1400000US06013352101,352101,3628.0,0.5887541345093715,0.06288157857920622,0.1068044789725469
Census Tract 3521.02; Contra Costa County; California,06013352102,1400000US06013352102,352102,5187.0,0.584731058415269,0.03788356496006697,0.06478801564387318
Census Tract 3522.01; Contra Costa County; California,06013352201,1400000US06013352201,352201,6070.0,0.6031301482701812,0.04014003247262731,0.0665528536216465
Census Tract 3522.02; Contra Costa County; California,06013352202,1400000US06013352202,352202,2674.0,0.7071802543006731,0.05289375818688873,0.07479529846205207
Census Tract 3530.01; Contra Costa County; California,06013353001,1400000US06013353001,353001,4420.0,0.5981900452488688,,
Census Tract 3530.02; Contra Costa County; California,06013353002,1400000US06013353002,353002,4182.0,0.7517934002869441,0.054614534668923805,0.07264566920656468
Census Tract 3540.01; Contra Costa County; California,06013354001,1400000US06013354001,354001,2396.0,0.7182804674457429,0.0874139930906855,0.12169897004374343
Census Tract 3540.02; Contra Costa County; California,06013354002,1400000US06013354002,354002,6943.0,0.7639348984588794,0.053417793375229214,0.06992453608676781
Census Tract 3551.07; Contra Costa County; California,06013355107,1400000US06013355107,355107,5607.0,0.33137149991082576,0.07002597047558888,0.21132164502509518
Census Tract 3551.09; Contra Costa County; California,06013355109,1400000US06013355109,355109,7471.0,0.278409851425512,0.08204477804278182,0.2946906426719341
Census Tract 3551.10; Contra Costa County; California,06013355110,1400000US06013355110,355110,4112.0,0.22081712062256809,0.03132695026102128,0.14186830338471312
Census Tract 3551.11; Contra Costa County; California,06013355111,1400000US06013355111,355111,6569.0,0.28756279494595827,0.07339668206056717,0.2552370590025758
Census Tract 3551.12; Contra Costa County; California,06013355112,1400000US06013355112,355112,5800.0,0.7082758620689655,0.07959929516020495,0.11238459394576161
Census Tract 3551.13; Contra Costa County; California,06013355113,1400000US06013355113,355113,5423.0,0.5404757514290983,0.03423376275336796,0.06334005302337578
Census Tract 3551.15; Contra Costa County; California,06013355115,1400000US06013355115,355115,10013.0,0.23099970038949366,0.04734721156898519,0.20496654969314687
Census Tract 3551.18; Contra Costa County; California,06013355118,1400000US06013355118,355118,3769.0,0.1655611568055187,0.058394067840194956,0.3527039129642545
Census Tract 3551.19; Contra Costa County; California,06013355119,1400000US06013355119,355119,5288.0,,0.12444249019218916,0.5247622712410656
Census Tract 3551.20; Contra Costa County; California,06013355120,1400000US06013355120,355120,4036.0,0.23860257680872152,0.08751518506123242,0.36678222939473937
Census Tract 3551.21; Contra Costa County; California,06013355121,1400000US06013355121,355121,6409.0,0.24574816664066157,0.08693731658890365,0.3537658806465292
Census Tract 3551.22; Contra Costa County; California,06013355122,1400000US06013355122,355122,5559.0,0.27522935779816515,0.029549793845570282,0.10736425097223869
Census Tract 3551.23; Contra Costa County; California,06013355123,1400000US06013355123,355123,3333.0,0.07980798079807981,0.01872666965449951,0.23464657879115364
Census Tract 3551.24; Contra Costa County; California,06013355124,1400000US06013355124,355124,4601.0,0.07933058030862856,0.029556391605679386,0.3725724870622763
Census Tract 3551.25; Contra Costa County; California,06013355125,1400000US06013355125,355125,4096.0,,0.05650986434075188,0.5284575441546112
Census Tract 3551.26; Contra Costa County; California,06013355126,1400000US06013355126,355126,5773.0,0.2357526416074831,0.08540443936766313,0.3622629158482875
